AAR	Scare Marla badly (5)
ABACI	Hand calculators, starting as backups, add critical information (5)
ABACUS	You can count on it, a taxi returning us (6)
ABANDON	An orchestra playing with lack of restraint (7)
ABANDON	Back out of agreement new legal group sent back (7)
ABANDON	Leave a ring on (7)
ABANDONED	Left behind a ring with one diamond on top (9)
ABATE	Beat a hectic retreat
ABATE	INSTRUCTIONS FOR VARIETY CRYPTIC:
ABATES	Drops off in a creepy motel (6)
ABBA	Swedish pop group with two college degrees (4)
ABBEYROAD	Turkish ruler appearing in a widely distributed album (5,4)
ABBOT	Religious leader given a small shot to return (5)
ABDOMEN	Stomach is disturbed, bad sign (7)
ABDOMINAL	I am a blond, going to pot around the midsection (9)
ABED	Be stuck in a spot in the sack (4)
ABERRANCE	Yogi's enthralled by boundless flings and deviant behavior (9)
ABERRANT	A former Mets' manager, not heartless but decidedly odd (8)
ABET	Help with a risk (4)
ABETTER	A superior helper (7)
ABETTOR	He enables a gambler (7)
ABIDE	Bear with a new mate, releasing hiker at last (5)
ABIDINGLY	Is big lady in tatters forever? (9)
ABIGAIL	Get sick chasing a grand lady's maid (7)
ABILENE	Running across obscene libation from the East Texas town? (7)
ABLUTIONS	Cleaning off a lion bust (9)
ABNORMAL	Weird model breaks into a northern research facility (8)
ABOARD	A poet pens "Love" on the ship (6)
ABODE	Masked by fruit beverage, personal hygiene problem is tolerated (5)
ABOVEPAR	Swinging more than prescribed, ape comes back inside, crazed. Bravo!? (5,3)
ABRACADABRA	In reverse, rear bad, a car backfires and poof? (11)
ABRAHAM	A woman's undergarment on bad thespian costar in "Amadeus" (7)
ABRAHAM	Lincoln, an emotional actor, embraces supporter (7)
ABREACT	Express one's emotions in fancy cabaret (7)
ABREAST	Up with a British Orient! (7)
ABRIDGING	Trimming middle down: a kind of muscle definition? (9)
ABROAD	A woman gone astray (6)
ABROAD	Two cuts from Abbey Road being widely circulated (6)
ABSCOND	Fly from Arab's condemnation (7)
ABSENTLY	Without thinking mixed lye 'n' Tabs (8)
ABSENTMINDEDLY	Blends dynamite bombs while in a faraway place? (6-8)
ABSINTHE	Bathes in mixture of toxic liqueur (8)
ABSOLUT	Press against a container of Mexican beer and vodka (7)
ABSOLUTE	Sheer blouse at dances (8)
ABSOLUTELY	Totally awful, lousy table (10)
ABSORB	Suck up belly muscles .... or start to bulge (6)
ABSORBED	Arabs (or Bedouins) not fully assimilated (8)
ABSTAIN	Decline a stab in bum (7)
ABSTAINED	Nasty sea bandit did not drink. (9)
ABSTAINERS	Ban satires critical of non-drinkers (10)
ABSTEMIOUS	Self-denying punk is a mute S.O.B. (10)
ABSTINENT	Sober Tibetans losing control, taking a little nip (9)
ABSTRACTS	Summaries of car option pamphlets  (9)
ABSURD	Ridiculous ad jacket rubs the wrong way (6)
ABUDHABI	A beverage custom, timeless, in an Arab sheikdom (3,5)
ABUNDANCE	In a dance, little do plenty (9)
ABUNDANCE	The jerk is one trailing a roll of Bounty (9)
ABUSE	Batter makes a clear error (5)
ABUT	Mirrored instrument provides edge (4)
ABUTS	Is next to a total bust (5)
ABYSSES	Fools around near hellholes (7)
ABYSSINIA	I may fall into pit in a remote country (9)
